	mass A			
t	x	y	v	
0,000	−4,527E−4	0,281	
0,033	4,227E−4	0,281	6,802E−2
0,067	3,984E−3	0,280	9,068E−2
0,100	6,344E−3	0,280	9,401E−2
0,133	1,024E−2	0,280	0,126
0,167	1,469E−2	0,280	0,147
0,200	2,001E−2	0,279	0,214
0,233	2,865E−2	0,277	0,293
0,267	3,923E−2	0,276	0,313
0,300	4,929E−2	0,275	0,319
0,333	6,033E−2	0,273	0,298
0,367	6,906E−2	0,273	0,400
0,400	8,665E−2	0,269	0,471
0,433	0,100	0,269	0,448
0,467	0,116	0,266	0,542
0,500	0,136	0,262	0,604
0,533	0,156	0,257	0,594
0,567	0,174	0,252	0,720
0,600	0,202	0,243	0,830
0,633	0,227	0,235	0,840
0,667	0,255	0,226	0,938
0,700	0,285	0,213	1,033
0,733	0,320	0,204	1,105
0,767	0,357	0,195	1,134
0,800	0,395	0,193	1,163
0,833	0,434	0,197	1,152
0,867	0,471	0,205	1,095
0,900	0,505	0,216	1,041
0,933	0,538	0,222	0,981
0,967	0,569	0,230	0,938
1,000	0,600	0,230	0,890
1,033	0,628	0,231	0,880
1,067	0,659	0,231	0,988
1,100	0,693	0,224	1,017
1,133	0,725	0,219	1,040
1,167	0,762	0,213	1,064
1,200	0,795	0,205	1,068
1,233	0,832	0,199	1,185
1,267	0,873	0,193	1,220
1,300	0,912	0,190	1,228
1,333	0,955	0,186	1,266
1,367	0,997	0,183	1,227
1,400	1,036	0,184	1,283
1,433	1,082	0,181	1,293
1,467	1,123	0,184	1,223
1,500	1,164	0,184	1,337
1,533	1,211	0,177	1,376
1,567	1,255	0,175	1,333
1,600	1,300	0,173	1,393
1,633	1,348	0,171	
